Date,Request No.,Work Order No.,Site,Location,Complaint Type,Complainant,Complaint Description,Severity,Trade,PIC Name,Repair Description,Rating,Progress,Fixed By,Assigned By,Verified By,Complaint Time,Respond Duration,Assigned Time,Executed Time,Verified Time,Assistants
11/07/2025,REQ-2025-011,WO-2025-011,Loading Dock,Basement Loading Area,Self Finding,test client,Loading dock door motor overheating,Critical,Mechanical,Carlos Rodriguez,Replaced motor cooling fan and cleaned vents,5,Completed,attendance2,GEMS Demo,test client,11/07/2025 5:00,45,11/07/2025 5:45,11/07/2025 13:00,11/07/2025 15:00,attendance1
12/07/2025,REQ-2025-012,WO-2025-012,Kitchen,Main Kitchen Area,Public Complaint,test client,Refrigerator temperature inconsistent,Critical,HVAC,Mike Johnson,Replaced refrigerator thermostat and sealed door,5,Completed,attendance2,GEMS Demo,test client,12/07/2025 10:30,30,12/07/2025 11:00,12/07/2025 15:00,12/07/2025 17:00,
13/07/2025,REQ-2025-013,WO-2025-013,Meeting Rooms,Level 3 Conference Room C,Client Complaint,test client,Whiteboard markers dried out,Non-Critical,General Maintenance,James Taylor,Replaced all whiteboard markers and cleaned board,3,Completed,attendance2,GEMS Demo,test client,13/07/2025 13:00,180,13/07/2025 16:00,14/07/2025 9:00,14/07/2025 10:00,
14/07/2025,REQ-2025-014,WO-2025-014,Emergency Systems,Stairwell B,Request,test client,Emergency lighting not working,Critical,Electrical,David Wilson,Replaced emergency light batteries and tested system,5,Completed,attendance2,GEMS Demo,test client,14/07/2025 18:00,15,14/07/2025 18:15,14/07/2025 20:00,14/07/2025 21:30,
15/07/2025,REQ-2025-015,WO-2025-015,Landscape,Front Garden Area,Self Finding,test client,Sprinkler system leaking water,Non-Critical,Plumbing,Peter Singh,Replaced damaged sprinkler heads and adjusted pressure,4,Completed,attendance2,GEMS Demo,test client,15/07/2025 6:00,120,15/07/2025 8:00,15/07/2025 14:00,15/07/2025 16:00,
16/07/2025,REQ-2025-016,WO-2025-016,Storage Room,Level B1 Storage Room 5,Breakdown,test client,Storage room door lock jammed,Critical,Mechanical,Carlos Rodriguez,Replaced door lock mechanism and lubricated hinges,4,Completed,attendance2,GEMS Demo,test client,16/07/2025 12:00,45,16/07/2025 12:45,16/07/2025 16:00,16/07/2025 17:30,
17/07/2025,REQ-2025-017,WO-2025-017,Library,Level 2 Reading Area,Client Complaint,test client,Ceiling fan making noise and wobbling,Non-Critical,Electrical,David Wilson,Balanced ceiling fan blades and tightened mounting,4,Completed,attendance2,GEMS Demo,test client,17/07/2025 11:00,240,17/07/2025 15:00,18/07/2025 10:00,18/07/2025 12:00,
18/07/2025,REQ-2025-018,WO-2025-018,Water Systems,Rooftop Water Tank,Request,test client,Water pressure low in building,Critical,Plumbing,Peter Singh,Cleaned water tank filters and checked pump system,5,Completed,attendance2,GEMS Demo,test client,18/07/2025 5:30,30,18/07/2025 6:00,18/07/2025 12:00,18/07/2025 14:00,attendance1
19/07/2025,REQ-2025-019,WO-2025-019,Reception,Main Entrance Lobby,Public Complaint,test client,Automatic doors not opening properly,Critical,Mechanical,Carlos Rodriguez,Calibrated door sensors and replaced rubber seals,5,Completed,attendance2,GEMS Demo,test client,19/07/2025 9:00,60,19/07/2025 10:00,19/07/2025 14:30,19/07/2025 16:00,
20/07/2025,REQ-2025-020,WO-2025-020,Office Block B,Level 3 HR Department,Breakdown,test client,Office heating not working efficiently,Critical,HVAC,Mike Johnson,Replaced heating coil and cleaned air ducts,5,Completed,attendance2,GEMS Demo,test client,20/07/2025 8:00,45,20/07/2025 8:45,20/07/2025 13:00,20/07/2025 15:30,attendance1
